ChemicalID,ChemicalName,CasRN,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
D014700,Verapamil,52-53-9,2520,454.6,3.8,64.0,0,6,13,33,606.0
D019980,Amoxicillin-Potassium Clavulanate Combination,74469-00-4,23665637,602.7,,248.0,5,12,6,40,919.0
D000965,Antimony,7440-36-0,5354495,121.76,,0.0,0,0,0,1,0.0
C015001,arsenite,15502-74-6,544,122.92,,69.2,0,3,0,4,8.0
D001622,Betaine,107-43-7,247,117.15,0.5,40.1,0,2,1,8,87.6
C035978,cefbuperazone,76610-84-9,127527,627.7,-1.0,280.0,4,14,10,42,1210.0
D020682,Cefixime,79350-37-1,5362065,453.5,-0.7,238.0,4,12,8,30,861.0
D002511,Cephalosporins,,25058126,387.4,-3.1,205.0,5,10,10,26,635.0
D003707,Demeclocycline,127-33-3,54680690,464.9,0.7,182.0,6,9,2,32,961.0
D003931,Diacetyl,0431-03-08,650,86.09,-1.3,34.1,0,2,1,6,71.5
D004318,Doxycycline,564-25-0,54671203,444.4,-0.7,182.0,6,9,2,32,956.0
D015365,Enoxacin,74011-58-8,3229,320.32,-0.2,85.8,2,8,3,23,521.0
D008724,Methomyl,16752-77-5,5353758,162.21,0.6,76.0,1,4,3,10,147.0
D009538,Nicotine,,89594,162.23,1.2,16.1,0,2,1,12,147.0
D015242,Ofloxacin,82419-36-1,4583,361.4,-0.4,73.3,1,8,2,26,634.0
D013752,Tetracycline,60-54-8,54675776,444.4,-2.0,182.0,6,9,2,32,971.0
C066075,vanadium pentoxide,1314-62-1,14814,181.88,,77.5,0,5,0,7,123.0
C059528,14-hydroxydocosahexaenoic acid,86360-66-9,6439735,344.5,6.6,57.5,2,3,14,25,493.0
C048927,"1,5-anhydrofructose",75414-43-6,126517,162.14,-1.6,87.0,3,5,1,11,157.0
C062894,"17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid",90780-52-2,6439179,344.5,5.1,57.5,2,3,14,25,493.0
C031278,2-chloroethyl ethyl sulfide,0693-07-02,12733,124.63,1.8,25.3,0,1,3,6,23.5
C029536,2-oxothiazolidine-4-carboxylic acid,,72390,147.15,-0.1,91.7,2,4,1,9,158.0
C000623021,3-(pyridin-3-ylsulfonyl)-5-(trifluoromethyl)-2H-chromen-2-one,,132451886,355.3,2.7,81.7,0,8,2,24,638.0
C088860,"4-((3-bromophenyl)amino)-6,7-dimethoxyquinazoline",,4705,360.2,4.0,56.3,1,5,4,22,360.0
C056165,acetovanillone,0498-02-02,2214,166.17,0.5,46.5,1,3,2,12,167.0
D000537,Aluminum Oxide,1344-28-1,9989226,101.961,,3.0,0,3,0,5,0.0
