ChemicalName,KEGG_ID,Disease,shared_pathways,jaccard,link_type
Cocaine,C01416,Pneumonia,1,0.0081,known
Creatinine,C00791,Pneumonia,1,0.0081,novel_candidate
DDT,C04623,Pneumonia,1,0.008,novel_candidate
Daunorubicin,C01907,Pneumonia,1,0.0081,known
Docetaxel,C11231,Pneumonia,1,0.0081,known
Dronabinol,C06972,Pneumonia,1,0.0081,known
Ephedrine,C01575,Pneumonia,1,0.0081,novel_candidate
Etoposide,C01576,Pneumonia,1,0.0081,novel_candidate
Eucalyptol,C09844,Pneumonia,1,0.0081,novel_candidate
Heparin,C00374,Pneumonia,1,0.0081,novel_candidate
Hexachlorocyclohexane,C06988,Pneumonia,1,0.0081,novel_candidate
Ifosfamide,C07047,Pneumonia,1,0.0081,novel_candidate
Iron,C00023,Pneumonia,1,0.0081,known
Leukotriene D4,C05951,Pneumonia,1,0.0079,novel_candidate
Moxifloxacin,C07663,Pneumonia,1,0.0081,known
Mustard Gas,C19164,Pneumonia,1,0.0081,known
Penicillin G,C05551,Pneumonia,1,0.0081,known
Platelet Activating Factor,C04598,Pneumonia,1,0.008,novel_candidate
Sodium Selenite,C05684,Pneumonia,1,0.0081,known
Streptomycin,C00413,Pneumonia,1,0.0081,known
Tetracycline,C02811,Pneumonia,1,0.0081,novel_candidate
"theophylline, salbutamol drug combination",C07130,Pneumonia,1,0.0081,known
Tobramycin,C00397,Pneumonia,1,0.0081,known
Tretinoin,C00777,Pneumonia,1,0.0078,novel_candidate
Ursodeoxycholic Acid,C07880,Pneumonia,1,0.0081,known
Vincristine,C07204,Pneumonia,1,0.0081,novel_candidate
cobalt oxide,C19171,Pneumonia,1,0.0081,known
fexofenadine,C06999,Pneumonia,1,0.0081,novel_candidate
geraniol,C01500,Pneumonia,1,0.008,novel_candidate
solasodine,C10822,Pneumonia,1,0.0081,novel_candidate
Cyclic AMP,C00575,"Pulmonary Disease, Chronic Obstructive",17,0.1532,novel_candidate
Norepinephrine,C00547,"Pulmonary Disease, Chronic Obstructive",17,0.3696,known
Nitric Oxide,C00533,"Pulmonary Disease, Chronic Obstructive",9,0.1184,novel_candidate
Acetylcholine,C01996,"Pulmonary Disease, Chronic Obstructive",8,0.1481,novel_candidate
Adenosine,C00002,"Pulmonary Disease, Chronic Obstructive",7,0.1029,novel_candidate
Carbon,C00011,"Pulmonary Disease, Chronic Obstructive",5,0.082,novel_candidate
"1,6-hexamethylene diisocyanate",C00001,"Pulmonary Disease, Chronic Obstructive",4,0.069,novel_candidate
Carbon Monoxide,C00237,"Pulmonary Disease, Chronic Obstructive",4,0.087,known
Histamine,C00388,"Pulmonary Disease, Chronic Obstructive",4,0.0769,novel_candidate
Hydrocortisone,C00735,"Pulmonary Disease, Chronic Obstructive",4,0.0784,novel_candidate
