DiseaseName,# ChemicalName,ChemicalID,CasRN,DirectEvidence,PubMedIDs
Asthma,zafirlukast,C062735,107753-78-6,therapeutic,10027429|10064661|10359889|10386485|10439636|10780761|10817796|10852428|10929920|10934090|10967152|11061985|11070746|11393122|11570617|11596838|11694805|11885876|11991558|12095178|12113382|12114351|12189465|12583521|12604023|12742009|14609035|15136378|15170009|15572850|1673495|18489783|19667530|19681236|20332717|8087328|8162986|8222486|9027267|9196086|9377612|9412547|9620945|9620946|9690572|9701106|9825082|9847434|9949315
Asthma,zileuton,C063449,132880-11-6,therapeutic,10181070|10764316|17944539|19214143|20332717|22059882|8598621|9620945
Asthma,Zinc,D015032,7440-66-6,marker/mechanism,19598279
Asthma,Zinc,D015032,7440-66-6,therapeutic,17085522
" Pulmonary Disease, Chronic Obstructive","1,7-dimethylxanthine",C021183,611-59-6,therapeutic,19962977
" Pulmonary Disease, Chronic Obstructive","3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",C539252,,therapeutic,19056934
" Pulmonary Disease, Chronic Obstructive",4-hydroxy-2-nonenal,C027576,29343-52-0,marker/mechanism,37832483
" Pulmonary Disease, Chronic Obstructive","6-(5-((cyclopropylamino)carbonyl)-3-fluoro-2-methylphenyl)-N-(2,2-dimethylprpyl)-3-pyridinecarboxamide",C543534,,therapeutic,21888439
" Pulmonary Disease, Chronic Obstructive",Acetazolamide,D000086,59-66-5,therapeutic,6410668
" Pulmonary Disease, Chronic Obstructive",aclidinium bromide,C542859,,therapeutic,21870878
" Pulmonary Disease, Chronic Obstructive",Acrolein,D000171,0107-02-08,marker/mechanism,30204913
" Pulmonary Disease, Chronic Obstructive",Adrenal Cortex Hormones,D000305,,therapeutic,11699053
" Pulmonary Disease, Chronic Obstructive",Air Pollutants,D000393,,marker/mechanism,22370087|22536275|25491235|32000783|34331613
" Pulmonary Disease, Chronic Obstructive",Albuterol,D000420,18559-94-9,therapeutic,15494380|1835292|19011503|2951798
" Pulmonary Disease, Chronic Obstructive",ambroxol-theophylline-7-acetate,C077110,,therapeutic,17455344|8725993
